T,Z
6.0,8.3
-4.9000001,8.63
3.70000005,8.81
5.9000001,8.56
1.5,8.63
-2.0,8.75
3.0999999,8.76
-2.20000005,8.68
5.19999981,8.74
-4.69999981,8.56
-2.0,8.68
-4.9000001,8.66
5.9000001,8.51
-1.89999998,8.69
-1.10000002,8.62
5.80000019,8.75
6.0,8.59
9.80000019,8.49
7.0,8.68
6.0999999,8.7
-2.0,8.63
6.30000019,8.74
3.0,8.71
2.0,8.66
3.0999999,8.77
1.0,8.7
0.100000001,8.54
4.0999999,8.72
5.69999981,8.79
-4.30000019,8.66
-4.80000019,8.76
-3.0,8.7
-2.0,8.47
0.100000001,8.79
7.5999999,8.45
3.29999995,8.84
2.29999995,8.75
-1.89999998,8.65
-2.0999999,8.58
1.0,8.7
2.29999995,8.76
2.5,8.83
8.89999962,8.5
8.0,8.58
2.0999999,8.59
1.89999998,8.72
6.5,8.52
2.20000005,8.76
2.29999995,8.81
5.0999999,8.57
2.0,8.51
3.29999995,8.73
2.0,8.64
5.9000001,8.68
9.80000019,8.35
0.800000012,8.45
2.0999999,8.65
5.80000019,8.72
2.0,8.76
2.79999995,8.63
-4.19999981,8.76
5.69999981,8.66
7.80000019,8.22
3.70000005,8.74
1.10000002,8.75
-5.0,8.52
5.9000001,8.63
6.5,8.68
6.0,8.64
4.0999999,8.67
6.0999999,8.49
9.0,8.4
-0.200000003,8.89
3.79999995,8.74
-4.69999981,8.59
2.0999999,8.76
-5.0,8.19
5.9000001,8.67
3.20000005,8.72
4.0999999,8.77
4.0999999,8.68
3.0999999,8.74
6.5999999,8.75
-3.20000005,8.64
5.80000019,8.55
4.0999999,8.75
7.69999981,8.28
5.9000001,8.72
5.5999999,8.77
4.9000001,8.74
6.5999999,8.62
-4.80000019,8.78
-3.9000001,8.69
-5.0,8.41
6.0,8.69
9.60000038,8.06
-1.89999998,8.74
5.9000001,8.61
1.20000005,8.64
4.0999999,8.75
1.89999998,8.64
-1.89999998,8.68
5.9000001,8.77
2.79999995,8.64
5.80000019,8.84
5.9000001,8.74
-2.20000005,8.48
-1.89999998,8.57
4.0,8.71
4.80000019,8.28
6.5999999,8.54
3.0999999,8.56
-2.20000005,8.75
6.5999999,8.73
6.0,8.59
4.0999999,8.4
-2.0,8.68
4.0999999,8.78
-1.70000005,8.59
0.0,8.64
3.0,8.78
7.0,8.48
3.5999999,8.78
-1.89999998,8.72
2.20000005,8.67
-4.0,8.59
0.800000012,8.55
5.9000001,8.83
5.9000001,8.43
8.0,8.3
-4.80000019,8.74
6.80000019,8.65
-4.80000019,8.65
5.5999999,8.73
5.19999981,8.73
3.20000005,8.68
1.20000005,8.62
8.10000038,8.64
8.10000038,8.18
3.0,8.71
-4.0999999,8.73
5.80000019,8.63
2.0,8.69
8.0,8.54
8.10000038,8.39
-1.89999998,8.82
-1.89999998,8.72
-3.0999999,8.63
-3.0999999,8.65
-1.89999998,8.86
5.9000001,8.78
6.4000001,8.6
4.0,8.71
3.0,8.7
6.0,8.32
-4.69999981,8.47
-4.69999981,8.84
5.5999999,8.7
5.9000001,8.49
-0.100000001,8.63
6.4000001,8.69
6.0,8.45
5.9000001,8.86
-1.79999995,8.78
-4.80000019,8.54
4.0999999,8.72
2.0999999,8.7
6.0,8.64
-2.79999995,8.56
4.0999999,8.88
-1.89999998,8.63
6.0,8.55
-2.0,8.6
9.89999962,8.31
2.29999995,8.84
-2.29999995,8.95
5.9000001,8.31
5.0999999,8.72
-1.89999998,8.71
3.0999999,8.62
